A. BEARING WALL SYSTEMS,,Ra,?0g,Cdb,B,C,Dd
E. DUAL SYSTEMS WITH INTERMEDIATE MOMENT FRAMES CAPABLE OF RESISTING AT LEAST 25% OF PRESCRIBED SEISMIC FORCES,12.2.5.1,Ra,?0g,Cdb,B,C,Dd
1. Steel special concentrically braced frames,14.1,6,2.5,5,NL,NL,35
2. Special reinforced concrete shear walls,14.2,6.5,2.5,5,NL,NL,NL
3. Ordinary reinforced masonry shear walls,14.4,3,3,2.5,NL,NL,NP
4. Intermediate reinforced masonry shear walls,14.4,3.5,3,3,NL,NL,NP
5. Steel and concrete composite special concentrically braced frames,14.3,5.5,2.5,4.5,NL,NL,NL
6. Steel and concrete composite ordinary braced frames,14.3,3.5,2.5,3,NL,NL,NP
7. Steel and concrete composite ordinary shear walls,14.3,5,3,4.5,NL,NL,NP
8. Ordinary reinforced concrete shear wallsÿl,14.2,5.5,2.5,4.5,NL,NL,NP
F. SHEAR WALL-FRAME INTERACTIVE SYSTEM WITH ORDINARY REINFORCED CONCRETE MOMENT REINFORCED CONCRETE MOMENT FRAMES AND ORDINARY REINFORCED CONCRETE SHEAR WALLS,14.2 and 12.2.5.8,4.5,2.5,4,NL,NP,NP
G. CANTILEVERED COLUMN SYSTEMS REQUIREMENTS FOR: DETAILED TO CONFORM TO THE,12.2.5.2,Ra,?0g,Cdb,B,C,Dd
1. Steel special cantilever column systems,14.1,2.5,1.25,2.5,35,35,35
2. Steel ordinary cantilever column systems,14.1,1.25,1.25,1.25,35,35,NP
3. Special reinforced concrete moment frames,14.2 and 12.2.5.5,2.5,1.25,2.5,35,35,35
4. Intermediate reinforced concrete moment frames,14.2,1.5,1.25,1.5,35,35,NP
5. Ordinary reinforced concrete moment frames,14.2,1,1.25,1,35,NP,NP
6. Timber frames,14.5,1.5,1.5,1.5,35,35,35
"H. STEEL SYSTEMS NOT SPECIFICALLY EXCLUDING CANTILEVER COLUMN DETAILED FOR SEISMIC RESISTANCE, SYSTEMS",14.1,3,3,3,NL,NL,NP
